Name of Organization,Condition(s),Tag,Health Region,City,Address,Postal Code,Contact email,Contact phone number,Contact website,Status,Services offered,Language restriction,Age restriction,Cost,Virtual/In-person,Notes,map,images
BC Renal,Kidney Disease,"kidney, renal, chronic kidney, ESRD, AKI, nephritic, nephrotic, polycystic, PKD, glomerulonephritis, diabetic nephropathy, hypertensive nephropathy, interstital nephritis, tubulointerstitial, nephro, uremia, glomerular, renal parenchymal, ARF, CRF, nephrosclerosis, hydronephrosis, pyleonephritis, renal artery stenosis, RAS, Dialysis, transplant, donor, immune system, urology, urologist",All Health Regions,Vancouver,"Suite 260, 1770 West 7th Avenue, Vancouver, BC",V6J 4Y6,bcrenal@bcrenal.ca,604-875-7340,http://www.bcrenal.ca/,Active,"Education, database for kidney care services",English,Youth and adults,Free,In-person only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2603.6610653857965!2d-123.1368294229404!3d49.26386977138995!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5486734df978c00d%3A0x58e8d86838d10c57!2sBC%20Renal!5e0!3m2!1sen!2sca!4v1728873215863!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",
BC Schizophrenia Society,Schizophrenia,"schizo, psychosis, psychotic, affective, mental, thought, split mind, neuro, psychiatric, psychiatry, chronic mental, cognitive dysregulation, brain, delusional, behavioural",Vancouver Coastal Health,Vancouver,"1100 – 1200 West 73rd AveVancouver, BC    ",V6P 6G5,info@bcss.org,604-270-7841 Toll Free: 1-888-888-0029,https://www.bcss.org/,Active,"Family support group, Strengthening familes together (SFT) program, educational events and webinars, online psychoeducation, BCSS Youth program (supporting youth who have a loved one with mental illness), one-on-one support, ",none,Youth and adults,Free,In-person only,,,
BC Schizophrenia Society Branch Prince George,Any mental illness or addiction,"schizo, psychosis, psychotic, affective, mental, thought, split mind, neuro, psychiatric, psychiatry, chronic mental, cognitive dysregulation, brain, delusional, behavioural, eating, anorexia, bulimia, binge, addiction, substance use, emotion",Northern Health,Prince George,"1139 – 6 Avenue, Prince George, BC",V2L 5G5,reception@bcsspg.org,250-564-3396,https://bcsspg.org/,Active,Family support group,none,Adults only,Free,In-person only,,,
BCEdAccess,Students with disabilities/complex learners,"disability, special need, developmental, learning, cognitive, child, delay",Provincial,,only online,n/a,tracy@bcedaccess.com,n/a,https://bcedaccess.com/,Active,"Information and support for individual families, educators and organizations about the human right to equitable access to education, as well as advocating to government for systemic change",none ,Youth only,Free,In-person only,,,
Better At Home,Aging Needs,,Provincial,,,,info@betterathome.ca,604.268.1312,https://betterathome.ca/,,"Better at Home services vary from community to community. They are designed to complement existing services and are based on the unique needs of local seniors.
 
 Examples include:
 
  Friendly visiting
  Transportation
  Light yard work
  Minor home repairs
  Light housekeeping
  Grocery shopping
  Snow shoveling",,,Income-based,In-person only,Supporting the non-medical needs of older adults in B.C.,,
Brain Tumour Support Group -  Victoria,Brain cancer,"brain, cancer, tumour, tumor, neuro, cerebral, neoplasm, intracranial, central nervus system, glioma, astrocytoma, glioblastoma, meningioma, medulloblastoma, pituitary adenoma, schwannoma, craniopharyngioma, ependymoma, brain carcinoma",Vancouver Coastal Health,Victoria,NA,NA,NA,604-877-6000 ext. 672194,https://www.braintumour.ca/events/victoria-support-group-affiliated/,Active,This is a supportive group for patients living with a brain tumour and their caregivers. This session is facilitated by a counsellor. Sessions are held on the first Wednesday of each month (excluding statutory holidays) from 9:30 am to 11:00 am.,English,Youth and adults,Free,In-person only,This brain tumour support group is run by our partners at BC Cancer and has been combined with the Vancouver Support Group.,,
Brain Tumour Support Group - Vancouver,Brain cancer,"brain, cancer, tumour, tumor, neuro, cerebral, neoplasm, intracranial, central nervus system, glioma, astrocytoma, glioblastoma, meningioma, medulloblastoma, pituitary adenoma, schwannoma, craniopharyngioma, ependymoma, brain carcinoma",Vancouver Coastal Health,Vancouver,NA,NA,NA,604-877-6000 ext. 672194,https://www.braintumour.ca/support-group/vancouver-support-group-affiliated/,Active,This is a supportive group for patients living with a brain tumour and their caregivers. This session is facilitated by a counsellor. Sessions are held on the first Wednesday of each month (excluding statutory holidays) from 9:30 am to 11:00 am.,English,Youth and adults,Free,In-person only,,,
Brain Wellness BC,Brain conditions,,All Health Regions,,,,,,https://www.bcbrainwellness.ca,,,,,Unknown,In-person only,,,
BrainTrust Canada,Traumatic Brain Injury,"trauma, brain, injury, head, cranial, concussive, skull, cerebral, neuro, TBI, concussion, cranio, blunt",Interior Health,Kelowna,"11 – 368 Industrial Avenue, Kelowna, B.C. V1Y 7E8",V1Y 7E8,Jolene Hansen Community Support Coordinator: jhansen@braintrustcanada.com,1(250)762-3233 ext. 103,https://braintrustcanada.com/contact/,Active,"Support group, group programs, connection to resources",Primarily English ,Adults only,Free,In-person only,,,
British Columbia LGBT End-of-Life Resource Inventory,Palliative,,All Health Regions,,,Provincial,,,https://www.positivelypositive.ca/hiv-aids-news-4/LGBT_End-of-Life_Inventory.pdf,,"We provide a physically and emotionally safe environment, with activities geared towards the specific needs of those experiencing symptoms of Young Onset Dementia. Paul's Club opened in 2012 and is the first and only program of its kind in Vancouver.
 
 The Club has a warm, welcoming atmosphere and is designed to be fun!",,,Income-based,In-person only,,,
British Columbia Schizophrenia Society ,Schizophrenia,"schizo, psychosis, psychotic, affective, mental, thought, split mind, neuro, psychiatric, psychiatry, chronic mental, cognitive dysregulation, brain, delusional, behavioural, mental health",Vancouver Coastal Health,Vancouver,"1100-1200 W. 73rd Ave, Vancouver",V6P6G5,info@bcss.org,1.888.888.0029,https://www.bcss.org/,Active,"Education, support groups, events ",English,Adults only,Free,In-person only,,,
Canadian Congenital Heart Alliance,Congenital Heart Disease,"congenital, heart, defect, cardiac, fetal, birth, pediatric ",National,Vancouver,"3230 Yonge Street, Suite 2001, Toronto, ON",M4N 3P6,Julie Bard at BChearts@cchaforlife.org.,,https://www.cchaforlife.org/british-columbia,Active,"Patient education through community events, ""Fearless Physical Activity"" patient resources, adult congenital heart disease (ACHD) cardiologist clinic locator for patients/families lost to follow up, mental health support resource links (not directly through their organization), information to support transition to adult care from pediatric care, ""Beat Retreat"" -- camp experience for adults with CHD (costs $150 the rest subsidized by charity)",Resources in English and French,Youth and adults,Free,Both virtual/in-person,"They are based out of Toronto, but have a BC chapter. Contact information for the BC chapter is Julie Bard at BChearts@cchaforlife.org",,
Canadian Mental Health Association; BC Division,Anxiety/behavioural issues in children,"anxiety, behaviour, worry, stress, mood, neuro, mental, brain, cognitive, ADHD, attention, agitation, conduct, disruptive, emotion",Vancouver Coastal Health,Vancouver,"Suite 905 – 1130 West Pender Street, Vancouver BC",V6E 4A4,help@cmha.bc.ca,Phone 604-688-3234; Toll-free phone (BC only) 1-800-555-8222,https://bc.cmha.ca/programs-and-services/,Active,"""Confident Parents: Thriving Kids"" is a telephone consultation program for parents of children with anxiety or behavioural challenges. ""We are Indigenous: Big Worries/Fears, Parents/Caregiver Support Program"" is a telephone/computer based CBT integrated coaching service for Indigenous parents who have children specifically aged 3-12 experiencing anxiety specifically. Occasional webinars. ",none,Adults only,Free,Virtual only,Caregiver programs specifically made for parents,,
Cerebral Palsy Association of BC,Cerebral palsy,"CP, cerebral, palsy, motor, neuro, muscular, neuromuscular, brain, injury",Vancouver Coastal Health,Vancouver,330 – 409 Granville Street,V6C 1T2,info@bccerebralpalsy.com,604.408.9484,https://www.bccerebralpalsy.com/,Active,"Recreational activities, counselling and family support, financial and legal resources",none ,Youth and adults,Free,Virtual only,,,
Child Health BC,Child Health,"child, pediatric, fetal, fetus, newborn, neonate, mother, maternal, family, caregiver, caregiving, healthcare, children, BC, british columbia",Vancouver Coastal Health,Vancouver,"260 - 1770 West 7th Avenue, Vancouver, BC ",V6J 4Y6,chbcadmin@cw.bc.ca,(604) 877-6410,https://childhealthbc.ca/,Active,"Database for education, resources, medical services, etc.",English,Youth only,Free,Virtual only,,,
Children's Heart Network of BC,Heart,"congenital, heart, defect, cardiac, fetal, birth, pediatric ",Fraser Health,Burnaby,"5151 Canada Way, Burnaby, BC",V5E 3N1,chn@childrensheartnetwork.org,604-521-3037 or 1-877-833-1773 (toll free),,Active,"Family events, summer camps, hearts of gold youth programs and leadership program, parent workshops and resources including CPR training, parent coffee groups",n/a,Youth and adults,Free,Virtual only,,,
CMV Canada,Congential Cytomegalovirus Infections,"congenital, birth, CMV, cytomegalovirus, infection",National,Vancouver,"PO Box 27072, Winnipeg SquareWinnipeg, MB",R3C 4T3,info@cmvcanada.com,not listed,https://cmvcanada.com/contact-us/,Active,"4 pillars: (1) raising awareness about CMV through website, social media, newsletters, campaigns, presentations, conferences aimed at public and healthcare providers; (2) supporting CMV community by creating resources for caregivers, link families to local support, collaborate with parent advisory committees; (3) advocating for change by urging provincial governments to implement universal CMV screening; (4) championing innovative research via collaboration with their medical advisory board to support research including vaccine development, offers scientific grants",n/a,Youth and adults,Free,Virtual only,,,
Community Living BC,Developmental Disability,,All Health Regions,,,,,,,,"CLBC funds supports to help you get a job, learn new things, and enhance your quality of life by connecting to your community.
 Supports to live in your home
 CLBC funds different types of supports to live in your own place, with a roommate or family in shared living, or in a staffed home.",,,Unknown,Virtual only,"CLBC, a crown corporation, works with individuals, families, service providers, community and government partners to help people have lives filled with possibilities in welcoming communities.",,
Community Living BC,"Adults with development diabilities, including FASD and ASD","disability, disable, disabilities, special need, developmental, access, cognitive, learning, neuro, brain, mind, alcohol, adult, ASD, FASD, intellectual, CP, cerebral, syndrome, spina, muscular, tourette, epilepsy, speech",Vancouver Coastal Health,Vancouver,1200 – West 73rd Avenue,V6P 6G5,CLBCInfo@gov.bc.ca,604.664.0101,https://www.communitylivingbc.ca/,Active,"Housing supports, employment supports, family supports",none,Adults only,Free,Virtual only,,,
Comox Valley Head Injury Society,Traumatic Brain Injury,"trauma, brain, injury, head, cranial, concussive, skull, cerebral, neuro, TBI, concussion, cranio, blunt",Island Health,Courtenay,"102-254 Simms Street, Courtenay, BC V9N 5W1",V9N 5W1,info.cvhis@gmail.com,250-334-9225,www.cvhis.org,Active,Caregivers support group and one-on-one counselling for family members.,Primarily English,Adults only,Free,Virtual only,,,
Cowichan Brain Injury Sociey,Traumatic Brain Injury,"trauma, brain, injury, head, cranial, concussive, skull, cerebral, neuro, TBI, concussion, cranio, blunt",Island Health,Duncan,"6011 Cassino Rd. , Duncan BC, V9L 3X3",V9L3X3,admin@cowichanbraininjury.org,n/a,https://www.cowichanbraininjury.org/contact.html,Active,Monthly Caregivers Support Group 2nd Tuesday of the month 7-8:00 pm. Education Programs offered weekly. Case Management support for Brain Injury survivor and caregivers,Primarily English,Adults only,Free,Virtual only,,,
DEBRA Canada,Epidermolysis Bullosa,"skin, dermatolog, EB, epidermolysis, bullosa, blistering, dermolytic, hereditary, bullous",National,Vancouver,"1500 Upper Middle Rd, Unit #3, PO Box 76035, Oakville, ON",L6M 3H5,debra@debracanada.org,1-800-313-3012,https://debracanada.org/,Active,"""Fund a Butterfly"" program (kind of similar to make a wish), resources of caregivers and care providers, medical funding assistance, EB patient care kits, travel fund","Most information available in English, but Camp Liberté (not run by them, but promoted by them, is available in Quebec)",Youth only,Free,Virtual only,,,
Down Syndrome Resource Foundation,Down syndrome,"down, syndrome, trisomy, developmental, disability, disable, 21",Fraser Health,Burnaby,1409 Sperling Avenue,V5B 4J8,info@dsrf.org,(604) 444- 3773,https://www.dsrf.org/,Active,"Educational and recreational group programs, educational and health services, resources for families",none,Youth and adults,Free,Virtual only,,,
Eden Gardens,Dementia,,All Health Regions,,,,,,https://edengardens.ca/day-programs/,,,,,Unknown,Virtual only,,,
Emotions BC,Mental Illness,"schizo, psychosis, psychotic, affective, mental, thought, split mind, neuro, psychiatric, psychiatry, chronic mental, cognitive dysregulation, brain, delusional, behavioural, eating, anorexia, bulimia, binge, addiction, substance use, emotion",Fraser Health,Surrey,"Suite 107 – 18515 53rd Ave, Surrey, BC",V3S-7A4,info@emotionsbc.ca,604-968-6448,https://emotionsbc.ca/,Active,"Online support and skills, in-person support and skills",none,Youth and adults,Free,Both virtual/in-person,,,
Endocrine Research Society Vancouver,Endocrine,"endocrine, hormonal, gland, endocrinology, signalling, hormone, secretion, pathway",Vancouver Coastal Health,Vancouver,"105-1985 West Broadway, Vancouver BC",V6J 4Y3,N/A,N/A,https://www.endocrineresearchsociety.com/,Active,"The educational goals of the Society are to conduct medical research, primarily carried out in the province of British Columbia, and to educate the public and medical professionals of ERS’s research by way of conferences, seminars, publications, and public forums.",English,Adults only,Free,Both virtual/in-person,,,
Family Support Institute,Any disability,"disability, disable, disabilities, special need, developmental, access, cognitive, learning, neuro, brain, mind, child, fetal, alcohol, ASD, FASD, autism",Fraser Health,New West,227 6th Street,V3L 3A5,website form,(604) 540-8374 ext. 523,https://familysupportbc.com/,Active,"Support, mentor, and build capacity in families; promoting inclusion, equal rights, and equitable opportunities for people with disabilities",none,Youth and adults,Free,Both virtual/in-person,,,
First Link,Dementia,"dementia, neurodegenerative, brain, cognitive, memory, neurocognitive, intellectual, mental, phone line",Vancouver Coastal Health,Vancouver,N/A,N/A,N/A,1-800-936-6033,"https://alzheimer.ca/bc/en/help-support/find-support-bc/first-link-dementia-helpline#:~:text=If%20you%20have%20questions%20about,9%20a.m.%20to%208%20p.m.)",Active,"helpline for information about: dementia (general), Getting the diagnosis, Progression of the disease, including its effect on communication and behaviour. Personal planning. Maintaining independence. Providing care and support. Resources available in your community, including support groups and upcoming education workshops. Information about making your organization or community dementia friendly.","English, Canto, Mandarin, Punjabi, Hindi, Urdu",Adults only,Free,Both virtual/in-person,,,
First Nations Health Authority,Palliative,,Provincial,,,Provincical,,,,,,,,Free,Both virtual/in-person,,,
First Nations Health Authority,"Dementia, Aging",,First Nations Health Authority,,,Provincial,,,https://www.fnha.ca/WellnessSite/WellnessDocuments/BC_EldersGuide.pdf,,,,,Unknown,Both virtual/in-person,,,
Fraser Health,Palliative,,Fraser Health,,,Regional,,1-855-412-2121,fraserhealth.ca/palliativecare,,Palliative care provides comfort and quality-of-life care for individuals living with life-limiting illness,,,Free,Both virtual/in-person,,,
Fraser Health,"Dementia, Aging",,Fraser Health,,,Regional,,1-855-412-2121,https://www.fraserhealth.ca/Service-Directory/Services/home-and-community-care/home-and-community-care,,If approved its possible to receive health authority respite,,,Income-based,Both virtual/in-person,,,
Gordon House,Any,,Vancouver Coastal Health,,,,,,,,,,,Unknown,Both virtual/in-person,,,
Government of BC,Palliative,,All Health Regions,,,Provincial,,,https://www2.gov.bc.ca/gov/content/health/accessing-health-care/home-community-care/care-options-and-cost/end-of-life-care,,End-of-Life Care,,,Unknown,Both virtual/in-person,,,
